341028;06.10.2016;9268 $;AD Ч јндорра;"""ƒомино"
135093;18.04.2008;3042 $;AE Ч ќбъединенные јрабские Ёмираты;"Eleon"""""""
234951;01.02.2020;6634 $;AF Ч јфганистан;јмиго
51687;07.10.2019;7660 $;AG Ч јнтигуа и Ѕарбуда;Excel winner'
656206;21.03.2012;4501 $;AI Ч јнгиль€;69
260182;11.12.2007;7436 $;AL Ч јлбани€;сто одна ночь у ѕетровича
621671;01.10.2016;2711 $;AM Ч јрмени€;Mandapa, a Ritz-Carlton Reserve
756134;22 июн€ 2013 г.;8324 $;AO Ч јнгола;Viroth's Hotel
317496;19 июл€ 2005 г.;8329 $;AQ Ч јнтарктика;Tulemar Bungalows & Villas
914894;14 окт€бр€ 2012 г.;2331 $;AR Ч јргентина;“улемар Ѕунгало & ¬иллас
481844;23 окт€бр€ 2008 г.;3687 $;AS Ч ¬осточное —амоа;Umaid Bhawan Palace Jodhpur
653838;15 апрел€ 2017 г.;8141 $;AT Ч јвстри€;Atlantis, The Palm
199811;29 €нвар€ 2017 г.;1859 $;AU Ч јвстрали€;Al Bustan Rotana Hotel
230939;1 окт€бр€ 2012 г.;8856 $;AW Ч јруба;Al Maha Desert Resort
757114;28 окт€бр€ 2019 г.;7850 $;AZ Ч јзербайджан;Burj Al Arab
822184;5 марта 2018 г.;3400 $;BA Ч Ѕосни€ и √ерцеговина;Al Qasr Madinat Resort Jumeirah
778256;23 июн€ 2012 г.;4543 $;BB Ч Ѕарбадос;Bab Al Shams Desert Resort & Spa
747205;6 феврал€ 2006 г.;1402 $;BD Ч Ѕангладеш;City Season Hotel
931381;26 ма€ 2009 г.;1221 $;BE Ч Ѕельги€;Concorde Hotel & Residence
726068;2 феврал€ 2007 г.;8738 $;BF Ч Ѕуркина-‘асо;Coral Boutique Hotel
893260;21 декабр€ 2011 г.;6546 $;BG Ч Ѕолгари€;Coral Boutique Villa
921638;29.01.2014;320 $;BH Ч Ѕахрейн;Dar Al Masyaf Hotel
739728;01.03.2011;2262 $;BI Ч Ѕурунди;Desert Palm Dubai
7077;27.04.2018;2777 $;BJ Ч Ѕенин;Dusit Dubai
683148;11.09.2005;4260 $;BL Ч —ен-Ѕартелеми;Habtoor Grand Resort & Spa
495621;02.04.2019;616 $;BM Ч Ѕермудские ќстрова;The Harbour Hotel & Residence
758602;16.07.2018;1332 $;BN Ч Ѕруней;Grand Hyatt Dubai
894320;15.04.2020;7290 $;BO Ч Ѕоливи€;Jumeirah Beach Hotel
44951;17.08.2002;62 $;BR Ч Ѕразили€;Le Meridien Hotel
887526;06.08.2001;2599 $;BS Ч Ѕагамские ќстрова;Le Royal Meridien Beach Resort & Spa
23085;22 апрел€ 2016 г.;4121 $;BT Ч Ѕутан;Landmark Hotel Baniyass
871873;2.08.2015 г.;1741 $;BV Ч ќстров Ѕуве;Landmark Plaza Baniyas
554765;10 июн€ 2003 г.;5747 $;BW Ч Ѕотсвана;Landmark Grand Hotel
727993;3 €нвар€ 2014 г.;2857 $;BY Ч Ѕеларусь;Landmark Riqqa
612068;8 декабр€ 2005 г.;3690 $;BZ Ч Ѕелиз;Ramada Deira
420921;11 ма€ 2006 г.;2420 $;CA Ч  анада;Madinat Mina A'Salam
510966;3 марта 2001 г.;5931 $;CC Ч  окосовые острова;Marine Beach Resort & Spa
650547;20.01.2007;1167 $;CD Ч  онго, ƒемократическа€ –еспублика;Metropolitan Hotel
714037;31.05.2019;71 $;CF Ч ÷ентральноафриканска€ –еспублика;Grand Millennium Dubai
753878;30.11.2013;5284 $;CG Ч  онго, –еспублика;Millennium Plaza Hotel
612932;06.04.2014;9761 $;CH Ч Ўвейцари€;Radisson Blu Hotel Dubai
4853;03.02.2001;5959 $;CI Ч  от-дТ»вуар;Raffles Hotel
985135;14.09.2004;7103 $;CK Ч ќстрова  ука;Ritz Carlton Hotel
860260;24.12.2013;7475,65 $;CL Ч „или;Shangri-La Hotel
168432;02.04.2019;2530 $;CM Ч  амерун;Sheraton Deira Hotel
940329;02.01.2009;9264 $;CN Ч  итай;Sheraton Dubai Creek Hotel & Towers
177237;24 июл€ 2019 г.;4695 $;CO Ч  олумби€;Sheraton Jumeirah Beach Resort & Towers
687208;30 августа 2013 г.;7248 $;CR Ч  оста-–ика;Somerset Jadaf
196399;28 ма€ 2011 г.;6172 $;CU Ч  уба;InterContinental Dubai Festival City
9896;5 августа 2000 г.;8661 $;CV Ч  або-¬ерде;Taj Palace Hotel Dubai
929352;13 августа 2012 г.;4798 $;CW Ч  юрасао;JW Marriott Hotel Dubai
422133;10 но€бр€ 2006 г.;667 $;CX Ч ќстров –ождества;Renaissance Hotel
985033;11 июл€ 2001 г.;2188 $;CY Ч  ипр;Jumeirah Emirates Towers Hotel
843903;15.01.2020;4036 $;CZ Ч „ешска€ –еспублика;Grosvenor House West Marina Beach Dubai
592420;29.09.2015;8001 $;DE Ч √ермани€;Park Hyatt Dubai
248398;23.08.2014;3382 $;DJ Ч ƒжибути;Mina A' Salam Madinat Jumeirah
621548;04.12.2016;7235 $;DK Ч ƒани€;Al Qasr at Madinat
131785;13.04.2017;5856 $;DM Ч ƒоминика;Kempinski Hotel Mall of the Emirates
958511;30.08.2013;8758 $;DO Ч ƒоминиканска€ –еспублика;One & Only Arabian Court at Royal Mirage
815870;18.02.2010;3509 $;DZ Ч јлжир;One&Only Residence & Spa at Royal Mirage
686741;12.11.2015;9731 $;EC Ч Ёквадор;The Palace The Old Town
882432;25.06.2001;6743 $;EE Ч Ёстони€;Al Murooj Rotana Dubai
855942;29.09.2002;2465 $;EG Ч ≈гипет;The Monarch Dubai
547840;25 сент€бр€ 2017 г.;5340 $;EH Ч «ападна€ —ахара;Metropolitan Dubai Hotel
719439;4 феврал€ 2013 г.;2355 $;ER Ч Ёритре€;Mina A Salam Beach Hotel Dubai
610712;23 июл€ 2013 г.;3844 $;ES Ч »спани€;Sofitel - Dubai Jumeirah Beach
279946;30 августа 2007 г.;2102 $;ET Ч Ёфиопи€;The World Trade Centre Hotel Dubai
486895;25 августа 2004 г.;5134 $;FI Ч ‘инл€нди€;Hyatt Regency Dubai
265070;16 июл€ 2000 г.;4179 $;FJ Ч ‘иджи;Jebel Ali Hotel & Golf Resort Dubai
492705;14 апрел€ 2014 г.;7803 $;FK Ч ‘олклендские острова (ћальвинские острова);Le Meridien Mina Seyahi Resort Dubai
541861;11 сент€бр€ 2012 г.;9481 $;FM Ч ‘едеративные Ўтаты ћикронезии;Al Bustan Centre Residence Dubai
288160;26 но€бр€ 2014 г.;6699 $;FO Ч ‘арерские острова;Beit Al Bahar Beach Villas Dubai
428883;12 июл€ 2004 г.;6118 $;FR Ч ‘ранци€;Crowne Plaza Hotel Dubai
85264;21 июн€ 2005 г.;3290 $;ћетрополи€ ‘ранции;Dubai Marine Beach Resort & Spa Dubai
970319;21 апрел€ 2019 г.;1555 $;GA Ч √абон;Le Meridien Residence Dubai
934985;28 июн€ 2008 г.;9919 $;GB Ч ¬еликобритани€;Radisson Royal Hotel
731567;3 окт€бр€ 2014 г.;3819 $;G Ч √ренада;Coral Deira Hotel
919634;29.05.2020;1983 $;GE Ч √рузи€;Al Sondos Suites
648726;16.01.2019;5012 $;GF Ч ‘ранцузска€ √виана;Samaya Hotel
840722;30.07.2008;6740 $;GG Ч √ернси;M?venpick Hotel
159572;27.01.2019;9729 $;GANA Ч √ана;Al Murooj Rotana Hotel and Suites
673462;21.09.2018;695 $;GI Ч √ибралтар;Hilton Dubai Jumeirah Resort
915579;06.05.2001;4499 $;GL Ч √ренланди€;Hilton Dubai Creek Hotel
529736;14.08.2013;5056 $;GM Ч √амби€;JAL hotel tower
929192;22.09.2019;952 $;GN Ч √вине€;Crowne Plaza Dubai Festival City
706258;23.03.2004;6573 $;GP Ч √ваделупа;Gold Swiss hotel, Dubai
495599;27.07.2005;853 $;GQ Ч Ёкваториальна€ √вине€;Royal Amwaj Resort and Spa
725870;24.10.2009;8496 $;GR Ч √реци€;Ibis Al Barsha Hotel Dubai
249766;21.06.2017;3877 $;GS Ч ёжна€ √еорги€ и ёжные —андвичевы острова;Arabian Park Hotel
353349;3 ма€ 2018 г.;8983 $;GT Ч √ватемала;Ottoman Palace Hotel and resort
641981;23 июн€ 2006 г.;9300 $;GU Ч √уам;Dhow Palace (Dubai)
114019;3 сент€бр€ 2008 г.;8891 $;GW Ч √вине€-Ѕисау;Majestic Hotel (Dubai)
976059;26 августа 2007 г.;3893 $;GY Ч √айана;Cassells Al Barsha Hotel
629311;21 но€бр€ 2016 г.;5511 $;HK Ч √онконг;Gloria Hotel
311016;5 декабр€ 2015 г.;1439 $;HM Ч ќстров ’ерд и острова ћакдональд;JW Marriott Marquis Dubai Tower 1
128430;30.04.2002;9271 $;HN Ч √ондурас;JW Marriott Marquis Dubai Tower 2
423280;06.07.2014;382 $;HR Ч ’орвати€;Holiday Inn Dubai Al Barsha
926719;03.11.2015;5954 $;HT Ч √аити;Armani Hotel Dubai
226361;20.06.2008;7139 $;HU Ч ¬енгри€;The Fairmont Palm Hotel & Resort
363063;03.04.2010;9198 $;ID Ч »ндонези€;Astoria Hotel
209511;19.05.2009;3852 $;ID Ч »ндонези€;Ambassador Hotel
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;/;;
